Area,Aug-21,Oct-21,Nov-21,Dec-21,Jan-22
PADD 1,683,634,722,733,694
East Coast,583,537,628,640,598
Appalachian No. 1,100,97,94,93,97
PADD 2,"3,892","3,743","3,834","3,885","3,915"
"Ind., Ill. and Ky.","2,528","2,366","2,408","2,485","2,506"
"Minn., Wis., N. Dak., S. Dak.",448,499,496,524,501
"Okla., Kans., Mo.",916,878,929,876,909
PADD 3,"8,328","7,996","8,476","8,485","8,258"
Texas Inland,699,702,666,683,654
Texas Gulf Coast,"4,483","4,421","4,751","4,632","4,320"
La. Gulf Coast,"2,819","2,622","2,737","2,829","2,984"
"N. La., Ark",228,229,249,248,238
New Mexico,99,22,72,92,62
PADD 4,598,544,577,584,588
PADD 5,"2,218","2,128","2,125","2,071","1,996"
